asin	itemID
0_Toy Story	0
1_GoldenEye	1
2_Four Rooms	2
3_Get Shorty	3
4_Copycat	4
5_Shanghai Triad (Yao a yao yao dao waipo qiao)	5
6_Twelve Monkeys	6
7_Babe	7
8_Dead Man Walking	8
9_Richard III	9
10_Seven (Se7en)	10
11_Usual Suspects, The	11
12_Mighty Aphrodite	12
13_Postino, Il	13
14_Mr. Holland's Opus	14
15_French Twist (Gazon maudit)	15
16_From Dusk Till Dawn	16
17_White Balloon, The	17
18_Antonia's Line	18
19_Angels and Insects	19
20_Muppet Treasure Island	20
21_Braveheart	21
22_Taxi Driver	22
23_Rumble in the Bronx	23
24_Birdcage, The	24
25_Brothers McMullen, The	25
26_Bad Boys	26
27_Apollo 13	27
28_Batman Forever	28
29_Belle de jour	29
30_Crimson Tide	30
31_Crumb	31
32_Desperado	32
33_Doom Generation, The	33
34_Free Willy 2 The Adventure Home	34
35_Mad Love	35
36_Nadja	36
37_Net, The	37
38_Strange Days	38
39_To Wong Foo, Thanks for Everything! Julie Newmar	39
40_Billy Madison	40
41_Clerks	41
42_Disclosure	42
43_Dolores Claiborne	43
44_Eat Drink Man Woman	44
45_Exotica	45
46_Ed Wood	46
47_Hoop Dreams	47
48_I.Q.	48
49_Star Wars	49
50_Legends of the Fall	50
51_Madness of King George, The	51
52_Natural Born Killers	52
53_Outbreak	53
54_Professional, The	54
55_Pulp Fiction	55
56_Priest	56
57_Quiz Show	57
58_Three Colors Red	58
59_Three Colors Blue	59
60_Three Colors White	60
61_Stargate	61
62_Santa Clause, The	62
63_Shawshank Redemption, The	63
64_What's Eating Gilbert Grape	64
65_While You Were Sleeping	65
66_Ace Ventura Pet Detective	66
67_Crow, The	67
68_Forrest Gump	68
69_Four Weddings and a Funeral	69
70_Lion King, The	70
71_Mask, The	71
72_Maverick	72
73_Faster Pussycat! Kill! Kill!	73
74_Brother Minister The Assassination of Malcolm X	74
75_Carlito's Way	75
76_Firm, The	76
77_Free Willy	77
78_Fugitive, The	78
79_Hot Shots! Part Deux	79
80_Hudsucker Proxy, The	80
81_Jurassic Park	81
82_Much Ado About Nothing	82
83_Robert A. Heinlein's The Puppet Masters	83
84_Ref, The	84
85_Remains of the Day, The	85
86_Searching for Bobby Fischer	86
87_Sleepless in Seattle	87
88_Blade Runner	88
89_So I Married an Axe Murderer	89
90_Nightmare Before Christmas, The	90
91_True Romance	91
92_Welcome to the Dollhouse	92
93_Home Alone	93
94_Aladdin	94
95_Terminator 2 Judgment Day	95
96_Dances with Wolves	96
97_Silence of the Lambs, The	97
98_Snow White and the Seven Dwarfs	98
99_Fargo	99
100_Heavy Metal	100
101_Aristocats, The	101
102_All Dogs Go to Heaven 2	102
103_Theodore Rex	103
104_Sgt. Bilko	104
105_Diabolique	105
106_Moll Flanders	106
107_Kids in the Hall Brain Candy	107
108_Mystery Science Theater 3000 The Movie	108
109_Operation Dumbo Drop	109
110_Truth About Cats & Dogs, The	110
111_Flipper	111
112_Horseman on the Roof, The (Hussard sur le toit, Le)	112
113_Wallace & Gromit The Best of Aardman Animation	113
114_Haunted World of Edward D. Wood Jr., The	114
115_Cold Comfort Farm	115
116_Rock, The	116
117_Twister	117
118_Maya Lin A Strong Clear Vision	118
119_Striptease	119
120_Independence Day (ID4)	120
121_Cable Guy, The	121
122_Frighteners, The	122
123_Lone Star	123
124_Phenomenon	124
125_Spitfire Grill, The	125
126_Godfather, The	126
127_Supercop	127
128_Bound	128
129_Kansas City	129
130_Breakfast at Tiffany's	130
131_Wizard of Oz, The	131
132_Gone with the Wind	132
133_Citizen Kane	133
134_2001 A Space Odyssey	134
135_Mr. Smith Goes to Washington	135
136_Big Night	136
137_D3 The Mighty Ducks	137
138_Love Bug, The	138
139_Homeward Bound The Incredible Journey	139
140_20,000 Leagues Under the Sea	140
141_Bedknobs and Broomsticks	141
142_Sound of Music, The	142
143_Die Hard	143
144_Lawnmower Man, The	144
145_Unhook the Stars	145
146_Long Kiss Goodnight, The	146
147_Ghost and the Darkness, The	147
148_Jude	148
149_Swingers	149
150_Willy Wonka and the Chocolate Factory	150
151_Sleeper	151
152_Fish Called Wanda, A	152
153_Monty Python's Life of Brian	153
154_Dirty Dancing	154
155_Reservoir Dogs	155
156_Platoon	156
157_Weekend at Bernie's	157
158_Basic Instinct	158
159_Glengarry Glen Ross	159
160_Top Gun	160
161_On Golden Pond	161
162_Return of the Pink Panther, The	162
163_Abyss, The	163
164_Jean de Florette	164
165_Manon of the Spring (Manon des sources)	165
166_Private Benjamin	166
167_Monty Python and the Holy Grail	167
168_Wrong Trousers, The	168
169_Cinema Paradiso	169
170_Delicatessen	170
171_Empire Strikes Back, The	171
172_Princess Bride, The	172
173_Raiders of the Lost Ark	173
174_Brazil	174
175_Aliens	175
176_Good, The Bad and The Ugly, The	176
177_12 Angry Men	177
178_Clockwork Orange, A	178
179_Apocalypse Now	179
180_Return of the Jedi	180
181_GoodFellas	181
182_Alien	182
183_Army of Darkness	183
184_Psycho	184
185_Blues Brothers, The	185
186_Godfather Part II, The	186
187_Full Metal Jacket	187
188_Grand Day Out, A	188
189_Henry V	189
190_Amadeus	190
191_Raging Bull	191
192_Right Stuff, The	192
193_Sting, The	193
194_Terminator, The	194
195_Dead Poets Society	195
196_Graduate, The	196
197_Nikita (La Femme Nikita)	197
198_Bridge on the River Kwai, The	198
199_Shining, The	199
200_Evil Dead II	200
201_Groundhog Day	201
202_Unforgiven	202
203_Back to the Future	203
204_Patton	204
205_Akira	205
206_Cyrano de Bergerac	206
207_Young Frankenstein	207
208_This Is Spinal Tap	208
209_Indiana Jones and the Last Crusade	209
210_MASH	210
211_Unbearable Lightness of Being, The	211
212_Room with a View, A	212
213_Pink Floyd - The Wall	213
214_Field of Dreams	214
215_When Harry Met Sally...	215
216_Bram Stoker's Dracula	216
217_Cape Fear	217
218_Nightmare on Elm Street, A	218
219_Mirror Has Two Faces, The	219
220_Breaking the Waves	220
221_Star Trek First Contact	221
222_Sling Blade	222
223_Ridicule	223
224_101 Dalmatians	224
225_Die Hard 2	225
226_Star Trek VI The Undiscovered Country	226
227_Star Trek The Wrath of Khan	227
228_Star Trek III The Search for Spock	228
229_Star Trek IV The Voyage Home	229
230_Batman Returns	230
231_Young Guns	231
232_Under Siege	232
233_Jaws	233
234_Mars Attacks!	234
235_Citizen Ruth	235
236_Jerry Maguire	236
237_Raising Arizona	237
238_Sneakers	238
239_Beavis and Butt-head Do America	239
240_Last of the Mohicans, The	240
241_Kolya	241
242_Jungle2Jungle	242
243_Smilla's Sense of Snow	243
244_Devil's Own, The	244
245_Chasing Amy	245
246_Turbo A Power Rangers Movie	246
247_Grosse Pointe Blank	247
248_Austin Powers International Man of Mystery	248
249_Fifth Element, The	249
250_Shall We Dance	250
251_Lost World Jurassic Park, The	251
252_Pillow Book, The	252
253_Batman & Robin	253
254_My Best Friend's Wedding	254
255_When the Cats Away (Chacun cherche son chat)	255
256_Men in Black	256
257_Contact	257
258_George of the Jungle	258
259_Event Horizon	259
260_Air Bud	260
261_In the Company of Men	261
262_Steel	262
263_Mimic	263
264_Hunt for Red October, The	264
265_Kull the Conqueror	265
266_u	266
267_Chasing Amy	267
268_Full Monty, The	268
269_Gattaca	269
270_Starship Troopers	270
271_Good Will Hunting	271
272_Heat	272
273_Sabrina	273
274_Sense and Sensibility	274
275_Leaving Las Vegas	275
276_Restoration	276
277_Bed of Roses	277
278_Once Upon a Time... When We Were Colored	278
279_Up Close and Personal	279
280_River Wild, The	280
281_Time to Kill, A	281
282_Emma	282
283_Tin Cup	283
284_Secrets & Lies	284
285_English Patient, The	285
286_Marvin's Room	286
287_Scream	287
288_Evita	288
289_Fierce Creatures	289
290_Absolute Power	290
291_Rosewood	291
292_Donnie Brasco	292
293_Liar Liar	293
294_Breakdown	294
295_Promesse, La	295
296_Ulee's Gold	296
297_FaceOff	297
298_Hoodlum	298
299_Air Force One	299
300_In & Out	300
301_L.A. Confidential	301
302_Ulee's Gold	302
303_Fly Away Home	303
304_Ice Storm, The	304
305_Mrs. Brown (Her Majesty, Mrs. Brown)	305
306_Devil's Advocate, The	306
307_FairyTale A True Story	307
308_Deceiver	308
309_Rainmaker, The	309
310_Wings of the Dove, The	310
311_Midnight in the Garden of Good and Evil	311
312_Titanic	312
313_3 Ninjas High Noon At Mega Mountain	313
314_Apt Pupil	314
315_As Good As It Gets	315
316_In the Name of the Father	316
317_Schindler's List	317
318_Everyone Says I Love You	318
319_Paradise Lost The Child Murders at Robin Hood Hills	319
320_Mother	320
321_Murder at 1600	321
322_Dante's Peak	322
323_Lost Highway	323
324_Crash	324
325_G.I. Jane	325
326_Cop Land	326
327_Conspiracy Theory	327
328_Desperate Measures	328
329_187	329
330_Edge, The	330
331_Kiss the Girls	331
332_Game, The	332
333_U Turn	333
334_How to Be a Player	334
335_Playing God	335
336_House of Yes, The	336
337_Bean	337
338_Mad City	338
339_Boogie Nights	339
340_Critical Care	340
341_Man Who Knew Too Little, The	341
342_Alien Resurrection	342
343_Apostle, The	343
344_Deconstructing Harry	344
345_Jackie Brown	345
346_Wag the Dog	346
347_Desperate Measures	347
348_Hard Rain	348
349_Fallen	349
350_Prophecy II, The	350
351_Spice World	351
352_Deep Rising	352
353_Wedding Singer, The	353
354_Sphere	354
355_Client, The	355
356_One Flew Over the Cuckoo's Nest	356
357_Spawn	357
358_Assignment, The	358
359_Wonderland	359
360_Incognito	360
361_Blues Brothers 2000	361
362_Sudden Death	362
363_Ace Ventura When Nature Calls	363
364_Powder	364
365_Dangerous Minds	365
366_Clueless	366
367_Bio-Dome	367
368_Black Sheep	368
369_Mary Reilly	369
370_Bridges of Madison County, The	370
371_Jeffrey	371
372_Judge Dredd	372
373_Mighty Morphin Power Rangers The Movie	373
374_Showgirls	374
375_Houseguest	375
376_Heavyweights	376
377_Miracle on 34th Street	377
378_Tales From the Crypt Presents Demon Knight	378
379_Star Trek Generations	379
380_Muriel's Wedding	380
381_Adventures of Priscilla, Queen of the Desert, The	381
382_Flintstones, The	382
383_Naked Gun 33 13 The Final Insult	383
384_True Lies	384
385_Addams Family Values	385
386_Age of Innocence, The	386
387_Beverly Hills Cop III	387
388_Black Beauty	388
389_Fear of a Black Hat	389
390_Last Action Hero	390
391_Man Without a Face, The	391
392_Mrs. Doubtfire	392
393_Radioland Murders	393
394_Robin Hood Men in Tights	394
395_Serial Mom	395
396_Striking Distance	396
397_Super Mario Bros.	397
398_Three Musketeers, The	398
399_Little Rascals, The	399
400_Brady Bunch Movie, The	400
401_Ghost	401
402_Batman	402
403_Pinocchio	403
404_Mission Impossible	404
405_Thinner	405
406_Spy Hard	406
407_Close Shave, A	407
408_Jack	408
409_Kingpin	409
410_Nutty Professor, The	410
411_Very Brady Sequel, A	411
412_Tales from the Crypt Presents Bordello of Blood	412
413_My Favorite Year	413
414_Apple Dumpling Gang, The	414
415_Old Yeller	415
416_Parent Trap, The	416
417_Cinderella	417
418_Mary Poppins	418
419_Alice in Wonderland	419
420_William Shakespeare's Romeo and Juliet	420
421_Aladdin and the King of Thieves	421
422_E.T. the Extra-Terrestrial	422
423_Children of the Corn The Gathering	423
424_Bob Roberts	424
425_Transformers The Movie, The	425
426_To Kill a Mockingbird	426
427_Harold and Maude	427
428_Day the Earth Stood Still, The	428
429_Duck Soup	429
430_Highlander	430
431_Fantasia	431
432_Heathers	432
433_Forbidden Planet	433
434_Butch Cassidy and the Sundance Kid	434
435_American Werewolf in London, An	435
436_Amityville 1992 It's About Time	436
437_Amityville 3-D	437
438_Amityville A New Generation	438
439_Amityville II The Possession	439
440_Amityville Horror, The	440
441_Amityville Curse, The	441
442_Birds, The	442
443_Blob, The	443
444_Body Snatcher, The	444
445_Burnt Offerings	445
446_Carrie	446
447_Omen, The	447
448_Star Trek The Motion Picture	448
449_Star Trek V The Final Frontier	449
450_Grease	450
451_Jaws 2	451
452_Jaws 3-D	452
453_Bastard Out of Carolina	453
454_Jackie Chan's First Strike	454
455_Beverly Hills Ninja	455
456_Free Willy 3 The Rescue	456
457_Nixon	457
458_Cry, the Beloved Country	458
459_Crossing Guard, The	459
460_Smoke	460
461_Like Water For Chocolate (Como agua para chocolate)	461
462_Secret of Roan Inish, The	462
463_Vanya on 42nd Street	463
464_Jungle Book, The	464
465_Red Rock West	465
466_Bronx Tale, A	466
467_Rudy	467
468_Short Cuts	468
469_Tombstone	469
470_Courage Under Fire	470
471_Dragonheart	471
472_James and the Giant Peach	472
473_Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb	473
474_Trainspotting	474
475_First Wives Club, The	475
476_Matilda	476
477_Philadelphia Story, The	477
478_Vertigo	478
479_North by Northwest	479
480_Apartment, The	480
481_Some Like It Hot	481
482_Casablanca	482
483_Maltese Falcon, The	483
484_My Fair Lady	484
485_Sabrina	485
486_Roman Holiday	486
487_Sunset Blvd.	487
488_Notorious	488
489_To Catch a Thief	489
490_Adventures of Robin Hood, The	490
491_East of Eden	491
492_Thin Man, The	492
493_His Girl Friday	493
494_Around the World in 80 Days	494
495_It's a Wonderful Life	495
496_Bringing Up Baby	496
497_African Queen, The	497
498_Cat on a Hot Tin Roof	498
499_Fly Away Home	499
500_Dumbo	500
501_Bananas	501
502_Candidate, The	502
503_Bonnie and Clyde	503
504_Dial M for Murder	504
505_Rebel Without a Cause	505
506_Streetcar Named Desire, A	506
507_People vs. Larry Flynt, The	507
508_My Left Foot	508
509_Magnificent Seven, The	509
510_Lawrence of Arabia	510
511_Wings of Desire	511
512_Third Man, The	512
513_Annie Hall	513
514_Boot, Das	514
515_Local Hero	515
516_Manhattan	516
517_Miller's Crossing	517
518_Treasure of the Sierra Madre, The	518
519_Great Escape, The	519
520_Deer Hunter, The	520
521_Down by Law	521
522_Cool Hand Luke	522
523_Great Dictator, The	523
524_Big Sleep, The	524
525_Ben-Hur	525
526_Gandhi	526
527_Killing Fields, The	527
528_My Life as a Dog (Mitt liv som hund)	528
529_Man Who Would Be King, The	529
530_Shine	530
531_Kama Sutra A Tale of Love	531
532_Daytrippers, The	532
533_Traveller	533
534_Addicted to Love	534
535_Ponette	535
536_My Own Private Idaho	536
537_Anastasia	537
538_Mouse Hunt	538
539_Money Train	539
540_Mortal Kombat	540
541_Pocahontas	541
542_Misérables, Les	542
543_Things to Do in Denver when You're Dead	543
544_Vampire in Brooklyn	544
545_Broken Arrow	545
546_Young Poisoner's Handbook, The	546
547_NeverEnding Story III, The	547
548_Rob Roy	548
549_Die Hard With a Vengeance	549
550_Lord of Illusions	550
551_Species	551
552_Walk in the Clouds, A	552
553_Waterworld	553
554_White Man's Burden	554
555_Wild Bill	555
556_Farinelli il castrato	556
557_Heavenly Creatures	557
558_Interview with the Vampire	558
559_Kid in King Arthur's Court, A	559
560_Mary Shelley's Frankenstein	560
561_Quick and the Dead, The	561
562_Stephen King's The Langoliers	562
563_Tales from the Hood	563
564_Village of the Damned	564
565_Clear and Present Danger	565
566_Wes Craven's New Nightmare	566
567_Speed	567
568_Wolf	568
569_Wyatt Earp	569
570_Another Stakeout	570
571_Blown Away	571
572_Body Snatchers	572
573_Boxing Helena	573
574_City Slickers II The Legend of Curly's Gold	574
575_Cliffhanger	575
576_Coneheads	576
577_Demolition Man	577
578_Fatal Instinct	578
579_Englishman Who Went Up a Hill, But Came Down a Mountain, The	579
580_Kalifornia	580
581_Piano, The	581
582_Romeo Is Bleeding	582
583_Secret Garden, The	583
584_Son in Law	584
585_Terminal Velocity	585
586_Hour of the Pig, The	586
587_Beauty and the Beast	587
588_Wild Bunch, The	588
589_Hellraiser Bloodline	589
590_Primal Fear	590
591_True Crime	591
592_Stalingrad	592
593_Heavy	593
594_Fan, The	594
595_Hunchback of Notre Dame, The	595
596_Eraser	596
597_Big Squeeze, The	597
598_Police Story 4 Project S (Chao ji ji hua)	598
599_Daniel Defoe's Robinson Crusoe	599
600_For Whom the Bell Tolls	600
601_American in Paris, An	601
602_Rear Window	602
603_It Happened One Night	603
604_Meet Me in St. Louis	604
605_All About Eve	605
606_Rebecca	606
607_Spellbound	607
608_Father of the Bride	608
609_Gigi	609
610_Laura	610
611_Lost Horizon	611
612_My Man Godfrey	612
613_Giant	613
614_39 Steps, The	614
615_Night of the Living Dead	615
616_Blue Angel, The (Blaue Engel, Der)	616
617_Picnic	617
618_Extreme Measures	618
619_Chamber, The	619
620_Davy Crockett, King of the Wild Frontier	620
621_Swiss Family Robinson	621
622_Angels in the Outfield	622
623_Three Caballeros, The	623
624_Sword in the Stone, The	624
625_So Dear to My Heart	625
626_Robin Hood Prince of Thieves	626
627_Sleepers	627
628_VictorVictoria	628
629_Great Race, The	629
630_Crying Game, The	630
631_Sophie's Choice	631
632_Christmas Carol, A	632
633_Microcosmos Le peuple de l'herbe	633
634_Fog, The	634
635_Escape from New York	635
636_Howling, The	636
637_Return of Martin Guerre, The (Retour de Martin Guerre, Le)	637
638_Tin Drum, The (Blechtrommel, Die)	638
639_Cook the Thief His Wife & Her Lover, The	639
640_Paths of Glory	640
641_Grifters, The	641
642_The Innocent	642
643_Thin Blue Line, The	643
644_Paris Is Burning	644
645_Once Upon a Time in the West	645
646_Ran	646
647_Quiet Man, The	647
648_Once Upon a Time in America	648
649_Seventh Seal, The (Sjunde inseglet, Det)	649
650_Glory	650
651_Rosencrantz and Guildenstern Are Dead	651
652_Touch of Evil	652
653_Chinatown	653
654_Stand by Me	654
655_M	655
656_Manchurian Candidate, The	656
657_Pump Up the Volume	657
658_Arsenic and Old Lace	658
659_Fried Green Tomatoes	659
660_High Noon	660
661_Somewhere in Time	661
662_Being There	662
663_Paris, Texas	663
664_Alien 3	664
665_Blood For Dracula (Andy Warhol's Dracula)	665
666_Audrey Rose	666
667_Blood Beach	667
668_Body Parts	668
669_Body Snatchers	669
670_Bride of Frankenstein	670
671_Candyman	671
672_Cape Fear	672
673_Cat People	673
674_Nosferatu (Nosferatu, eine Symphonie des Grauens)	674
675_Crucible, The	675
676_Fire on the Mountain	676
677_Volcano	677
678_Conan the Barbarian	678
679_Kull the Conqueror	679
680_Wishmaster	680
681_I Know What You Did Last Summer	681
682_Rocket Man	682
683_In the Line of Fire	683
684_Executive Decision	684
685_Perfect World, A	685
686_McHale's Navy	686
687_Leave It to Beaver	687
688_Jackal, The	688
689_Seven Years in Tibet	689
690_Dark City	690
691_American President, The	691
692_Casino	692
693_Persuasion	693
694_Kicking and Screaming	694
695_City Hall	695
696_Basketball Diaries, The	696
697_Browning Version, The	697
698_Little Women	698
699_Miami Rhapsody	699
700_Wonderful, Horrible Life of Leni Riefenstahl, The	700
701_Barcelona	701
702_Widows' Peak	702
703_House of the Spirits, The	703
704_Singin' in the Rain	704
705_Bad Moon	705
706_Enchanted April	706
707_Sex, Lies, and Videotape	707
708_Strictly Ballroom	708
709_Better Off Dead...	709
710_Substance of Fire, The	710
711_Tin Men	711
712_Othello	712
713_Carrington	713
714_To Die For	714
715_Home for the Holidays	715
716_Juror, The	716
717_In the Bleak Midwinter	717
718_Canadian Bacon	718
719_First Knight	719
720_Mallrats	720
721_Nine Months	721
722_Boys on the Side	722
723_Circle of Friends	723
724_Exit to Eden	724
725_Fluke	725
726_Immortal Beloved	726
727_Junior	727
728_Nell	728
729_Queen Margot (Reine Margot, La)	729
730_Corrina, Corrina	730
731_Dave	731
732_Go Fish	732
733_Made in America	733
734_Philadelphia	734
735_Shadowlands	735
736_Sirens	736
737_Threesome	737
738_Pretty Woman	738
739_Jane Eyre	739
740_Last Supper, The	740
741_Ransom	741
742_Crow City of Angels, The	742
743_Michael Collins	743
744_Ruling Class, The	744
745_Real Genius	745
746_Benny & Joon	746
747_Saint, The	747
748_MatchMaker, The	748
749_Amistad	749
750_Tomorrow Never Dies	750
751_Replacement Killers, The	751
752_Burnt By the Sun	752
753_Red Corner	753
754_Jumanji	754
755_Father of the Bride Part II	755
756_Across the Sea of Time	756
757_Lawnmower Man 2 Beyond Cyberspace	757
758_Fair Game	758
759_Screamers	759
760_Nick of Time	760
761_Beautiful Girls	761
762_Happy Gilmore	762
763_If Lucy Fell	763
764_Boomerang	764
765_Man of the Year	765
766_Addiction, The	766
767_Casper	767
768_Congo	768
769_Devil in a Blue Dress	769
770_Johnny Mnemonic	770
771_Kids	771
772_Mute Witness	772
773_Prophecy, The	773
774_Something to Talk About	774
775_Three Wishes	775
776_Castle Freak	776
777_Don Juan DeMarco	777
778_Drop Zone	778
779_Dumb & Dumber	779
780_French Kiss	780
781_Little Odessa	781
782_Milk Money	782
783_Beyond Bedlam	783
784_Only You	784
785_Perez Family, The	785
786_Roommates	786
787_Relative Fear	787
788_Swimming with Sharks	788
789_Tommy Boy	789
790_Baby-Sitters Club, The	790
791_Bullets Over Broadway	791
792_Crooklyn	792
793_It Could Happen to You	793
794_Richie Rich	794
795_Speechless	795
796_Timecop	796
797_Bad Company	797
798_Boys Life	798
799_In the Mouth of Madness	799
800_Air Up There, The	800
801_Hard Target	801
802_Heaven & Earth	802
803_Jimmy Hollywood	803
804_Manhattan Murder Mystery	804
805_Menace II Society	805
806_Poetic Justice	806
807_Program, The	807
808_Rising Sun	808
809_Shadow, The	809
810_Thirty-Two Short Films About Glenn Gould	810
811_Andre	811
812_Celluloid Closet, The	812
813_Great Day in Harlem, A	813
814_One Fine Day	814
815_Candyman Farewell to the Flesh	815
816_Frisk	816
817_Girl 6	817
818_Eddie	818
819_Space Jam	819
820_Mrs. Winterbourne	820
821_Faces	821
822_Mulholland Falls	822
823_Great White Hype, The	823
824_Arrival, The	824
825_Phantom, The	825
826_Daylight	826
827_Alaska	827
828_Fled	828
829_Power 98	829
830_Escape from L.A.	830
831_Bogus	831
832_Bulletproof	832
833_Halloween The Curse of Michael Myers	833
834_Gay Divorcee, The	834
835_Ninotchka	835
836_Meet John Doe	836
837_In the Line of Duty 2	837
838_Loch Ness	838
839_Last Man Standing	839
840_Glimmer Man, The	840
841_Pollyanna	841
842_Shaggy Dog, The	842
843_Freeway	843
844_That Thing You Do!	844
845_To Gillian on Her 37th Birthday	845
846_Looking for Richard	846
847_Murder, My Sweet	847
848_Days of Thunder	848
849_Perfect Candidate, A	849
850_Two or Three Things I Know About Her	850
851_Bloody Child, The	851
852_Braindead	852
853_Bad Taste	853
854_Diva	854
855_Night on Earth	855
856_Paris Was a Woman	856
857_Amityville Dollhouse	857
858_April Fool's Day	858
859_Believers, The	859
860_Nosferatu a Venezia	860
861_Jingle All the Way	861
862_Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il)	862
863_My Fellow Americans	863
864_Ice Storm, The	864
865_Michael	865
866_Whole Wide World, The	866
867_Hearts and Minds	867
868_Fools Rush In	868
869_Touch	869
870_Vegas Vacation	870
871_Love Jones	871
